#"time"	"Top model:Controleur.acc"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	
92	0.000249595252590551	1.03424726057559e-05	1.9400943499991e-05	3.5943873548321e-05	6.55520176292627e-05	0.00011710919243688
93	0.000236095939026538	9.5472749714673e-06	1.80531305386018e-05	3.37154640385277e-05	6.19819009137033e-05	0.000111620599497806
94	0.000223345171980067	8.81321738576116e-06	1.67989521872453e-05	3.16252090583698e-05	5.86062211327139e-05	0.000106389242150781
95	0.000211300303631989	8.13559899770488e-06	1.56319035075902e-05	2.96645434523068e-05	5.54143887945391e-05	0.000101403064455321
96	0.000199921186252668	7.51008038884774e-06	1.45459314692342e-05	2.78254330780751e-05	5.23963911359959e-05	9.66505755004519e-05
97	0.000189170021336889	6.93265578390314e-06	1.35354035549746e-05	2.61003418854984e-05	4.95427607124816e-05	9.21208229232995e-05
98	0.000179011218104633	6.39962739805768e-06	1.25950785471194e-05	2.44822010363129e-05	4.68445456986445e-05	8.78033676687857e-05
99	0.000169411260770447	5.90758175662838e-06	1.17200793433162e-05	2.29643799384658e-05	4.42932818065493e-05	8.3688259932273e-05
100	0.000160338584023141	5.45336783542128e-06	1.09058676609081e-05	2.15406590762002e-05	4.18809657332458e-05	7.97660162297111e-05


